LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,Wn_%,Mv_400kPa,Cv_400kPa,SPT_N,CPT_MPa,Grain_2.00mm,Mv_50kPa (m²/MN)x10⁻⁴,Mv_400kPa (m²/MN)x10⁻⁴,Cv_50kPa (m²/yr),Cv_400kPa (m²/yr),Grain_2.00mm (%),Grain_0.425mm (%),Grain_0.075mm (%),Grain_4.75mm,Grain_75um,Grain_4.25um,Grain_2um,is_plastic,LI,qc_est
42.5,22.8,19.7,20.1,7.0,52.4,0.37,,,0.51,,,,,59.6,22.4,geotechnical_data_4.xlsx,43.2,0.41,0.82,,,94.1,,,,,,,,,,,,1,1.0354804324653573,
41.6,21.8,19.8,20.3,8.0,53.8,0.33,,,0.65,,,,,47.8,19.2,geotechnical_data_4.xlsx,42.8,0.39,0.74,226.6,,92.7,,,,,,,,,,,,1,1.0605524973486185,90.64
84.1,32.7,51.4,19.9,11.0,59.6,0.61,,,1.05,,,,,69.6,73.6,geotechnical_data_4.xlsx,85.4,0.74,1.38,302.14,,99.8,,,,,,,,,,,,1,1.0252718818700026,120.856
85.0,32.3,52.7,19.8,12.0,62.8,0.69,,,1.22,,,,,70.1,80.4,geotechnical_data_4.xlsx,85.6,0.95,2.1,,,100.0,,,,,,,,,,,,1,1.011366008235138,
34.4,22.0,12.4,14.4,6.0,38.4,0.74,,,1.2,,,,,67.1,36.1,geotechnical_data_4.xlsx,41.2,0.62,1.36,,,99.7,,,,,,,,,,,,1,1.5482622369163779,
39.5,20.6,18.9,19.5,8.0,46.4,0.71,,,0.91,,,,,66.1,32.1,geotechnical_data_4.xlsx,43.5,0.39,1.05,75.53,,99.6,,,,,,,,,,,,1,1.2115761070842812,30.212000000000003
39.8,20.8,19.0,19.5,8.0,47.2,0.64,,,0.95,,,,,64.7,32.6,geotechnical_data_4.xlsx,42.3,0.68,0.98,103.86,,99.4,,,,,,,,,,,,1,1.1315193937161199,41.544000000000004
43.5,23.4,20.1,19.8,10.0,54.8,0.58,,,0.81,,,,,67.2,34.6,geotechnical_data_4.xlsx,44.5,0.57,0.89,151.07,,99.8,,,,,,,,,,,,1,1.0496990199492562,60.428
33.2,11.7,21.5,19.9,12.0,40.0,0.41,,,0.87,,,,,65.8,33.6,geotechnical_data_4.xlsx,50.0,0.48,0.95,217.16,,99.5,,,,,,,,,,,,1,1.7813124970931582,86.864
44.0,21.2,22.8,19.8,7.0,52.4,0.37,,,0.51,,,,,65.8,31.3,geotechnical_data_4.xlsx,51.8,0.41,0.8,,,85.0,,,,,,,,,,,,1,1.3420464014736193,
87.5,35.7,51.8,19.5,11.0,58.0,0.64,,,1.05,,,,,,87.8,geotechnical_data_4.xlsx,89.6,0.74,1.45,321.02,,98.4,,,,,,,,,,,,1,1.0405204532731027,128.408
85.0,28.2,56.8,19.7,12.0,63.0,0.7,,,1.23,,,,,92.8,83.2,geotechnical_data_4.xlsx,88.4,0.96,2.15,,,98.2,,,,,,,,,,,,1,1.0598404957659198,
43.2,24.8,18.4,18.5,6.0,39.0,0.72,,,1.22,,,,,73.0,38.4,geotechnical_data_4.xlsx,53.4,0.63,1.35,,,100.0,,,,,,,,,,,,1,1.5542633552524319,
42.6,18.8,23.8,19.6,8.0,47.0,0.71,,,0.91,,,,,61.5,32.1,geotechnical_data_4.xlsx,52.4,0.39,1.1,66.09,,100.0,,,,,,,,,,,,1,1.4117053905298094,26.436000000000003
48.0,23.9,24.1,19.7,8.0,47.5,0.64,,,0.95,,,,,67.4,26.6,geotechnical_data_4.xlsx,51.8,0.68,0.98,75.53,,100.0,,,,,,,,,,,,1,1.1576283141778347,30.212000000000003
46.4,26.3,20.1,19.8,11.0,56.1,0.57,,,0.81,,,,,67.4,32.8,geotechnical_data_4.xlsx,50.5,0.57,0.86,94.42,,99.7,,,,,,,,,,,,1,1.2039202029749763,37.768
38.1,19.7,18.4,20.1,9.0,62.4,0.41,,,0.87,,,,,58.1,35.0,geotechnical_data_4.xlsx,46.7,0.48,0.94,198.28,,97.4,,,,,,,,,,,,1,1.467311559154394,79.31200000000001
33.0,19.2,13.8,20.1,8.0,52.8,0.37,,,0.51,,,,,42.6,19.2,geotechnical_data_4.xlsx,45.6,0.41,0.8,,,90.4,,,,,,,,,,,,1,1.9129048619665243,
34.8,22.1,12.7,20.5,8.0,53.1,0.33,,,0.65,,,,,46.8,16.4,geotechnical_data_4.xlsx,38.2,0.4,0.76,217.16,,89.3,,,,,,,,,,,,1,1.26761672309267,86.864
84.0,34.2,49.8,19.6,12.0,63.0,0.64,,,1.03,,,,,77.1,71.4,geotechnical_data_4.xlsx,91.1,0.73,1.42,302.14,,99.3,,,,,,,,,,,,1,1.1425473384068592,120.856
80.0,33.9,46.1,19.9,12.0,64.0,0.72,,,1.24,,,,,95.7,87.3,geotechnical_data_4.xlsx,85.9,0.98,2.2,,,100.0,,,,,,,,,,,,1,1.1279581787813715,
39.6,24.4,15.2,18.5,6.0,38.2,0.72,,,1.15,,,,,67.5,36.5,geotechnical_data_4.xlsx,41.4,0.65,1.34,,,99.5,,,,,,,,,,,,1,1.118347477139662,
40.1,23.0,17.1,19.4,8.0,47.0,0.7,,,0.93,,,,,60.8,27.8,geotechnical_data_4.xlsx,46.0,0.53,1.15,75.54,,98.8,,,,,,,,,,,,1,1.3449505876849306,30.216000000000005
42.4,25.0,17.4,19.5,8.0,47.2,0.63,,,0.98,,,,,64.7,32.6,geotechnical_data_4.xlsx,43.7,0.64,0.97,94.42,,99.4,,,,,,,,,,,,1,1.0746508821332108,37.768
45.2,25.6,19.6,19.8,11.0,58.6,0.46,,,0.81,,,,,75.1,32.8,geotechnical_data_4.xlsx,48.5,0.54,0.89,122.75,,96.7,,,,,,,,,,,,1,1.1683077394010508,49.1
50.1,26.4,23.7,19.8,9.0,63.0,0.4,,,0.82,,,,,78.1,33.8,geotechnical_data_4.xlsx,56.4,0.48,0.92,188.84,,99.3,,,,,,,,,,,,1,1.2657693768195435,75.536
55.0,25.1,29.9,19.9,7.0,53.4,0.35,,,0.54,,,,,65.8,31.3,geotechnical_data_4.xlsx,56.9,0.41,0.8,,,85.0,,,,,,,,,,,,1,1.0635095816193438,
